Nodes;Addjested Nodes
27963704;{3565281946,}
50414618;{5151459901,5151459904,}
50414654;{50414657,4589001680,}
50414657;{1226660930,50414654,}
50414662;{50414664,1226660930,}
50414664;{50414667,50414662,}
50414667;{1226661095,50414664,}
50414669;{50414672,4600244396,}
50414672;{3125488723,50414669,}
50414674;{417231550,3125488712,}
50414677;{4570813757,3125483671,1226661186,}
50414704;{4075081883,1343795506,}
50414706;{50414710,4075081883,}
50414710;{50414713,50414706,}
50414713;{3687071677,50414710,}
50414717;{50414719,1226661311,}
50414719;{1890137547,50414717,4570813756,}
50414723;{1890137544,1890137547,}
50414725;{1890137544,476627298,50414732,}
50414732;{50414735,50414725,}
50414735;{3687071684,50414732,}
50414738;{1226660742,5143429365,}
50414741;{921640276,1890137539,}
50414747;{1890137519,1890137516,1226660950,}
50414750;{50414752,1890137516,}
50414752;{855082782,50414750,}
50414755;{855082659,855082727,}
50414760;{50414762,855082659,}
50414762;{50414765,50414760,}
50414765;{1226660871,50414762,}
50414771;{1226661130,1226660871,}
50414775;{1226661130,}
265658715;{1226660883,265658753,4570813756,}
265658750;{1430980168,3175640168,1430980154,5143420068,}
265658751;{265658752,4570813754,}
265658752;{265658753,265658751,}
265658753;{265658715,265658752,}
265662652;{1431220926,1431220928,1431220978,}
265662668;{4792378826,1431220953,3875866641,}
265662674;{2091240036,2091240116,2091240038,}
265662966;{2947909795,270950153,2947909794,}
265662967;{266531062,270950333,2947909792,}
265662968;{2947909792,2947909784,}
265662969;{1075553066,1229713754,}
265662970;{1219184469,4366946225,}
265662971;{354792955,2973948140,}
265662972;{2973948138,2973948137,}
265662973;{4284741648,269304202,265663109,1109029965,}
265662975;{2197863494,4543292115,}
265662976;{4543292115,5413112019,}
265662977;{4085140739,1448825594,1068493487,}
265662978;{1448825482,1448825567,4790604673,}
265662979;{1448825447,265662980,}
265662980;{265664825,265665298,305166143,4763121155,265662979,}
265662981;{318002321,2296509460,}
265662982;{2296509460,2973948004,1063806335,}
265662983;{2973947994,2973947993,265664850,}
265663109;{265662973,4763121160,}
265663110;{1060188248,2503666983,}
265663111;{1068493392,2503666983,4547021295,}
265663112;{4547021295,265663113,}
265663113;{265663112,1080914716,}
265663114;{1080914716,3102403682,}
265663115;{3709518973,265663116,}
265663116;{265663115,1080912588,}
265663118;{3102403713,3102403929,}
265663122;{305267093,5143194672,}
265663124;{2418284679,2418284680,}
265663202;{2973365371,4045057877,}
265663203;{4045057877,4045057873,}
265663204;{4045057875,1088190034,}
265663205;{855082770,4045057876,2380034816,3102404337,}
265663206;{4588994289,3102404363,}
265663207;{2973365674,4588994289,}
265663208;{1891162265,2973365674,}
265663209;{1891162277,1891162265,}
265663210;{1891162300,1062662580,}
265663211;{2973365688,1891162343,}
265663212;{265663213,2973354011,}
265663213;{1059973614,265663212,}
265663214;{1059973686,270952057,}
265663215;{469943883,1059973540,}
265663216;{3715997833,5143302789,5144711184,}
265663217;{3179519249,3179519252,1059256385,}
265663218;{1062662519,4086591479,3646574093,4609566048,}
265663219;{3961963430,1059189954,}
265663220;{3214535909,1059189954,}
265663221;{1059190292,3214535909,}
265663222;{3179504101,1059190292,4230169285,}
265663223;{1667636582,4851627762,}
265663224;{4851627774,4642568114,4851627775,4849552115,}
265663225;{1667664879,5422208682,}
265663226;{5422208689,2907928860,}
265663227;{2907928860,1791265014,}
265663333;{5165345626,4409498013,2777726704,}
265663408;{2973365378,4588994122,}
265663410;{2973365383,1891162052,265663411,}
265663411;{265663410,1060188276,}
265663412;{1891162065,265663413,}
